mij_mii,mij
.0000146,9.17e-06
.0000292,.0000183
.0002044,.0001284
.0000438,.0000275
.0001898,.0001193
.0000184,.0000174
.0000484,.0000457
5.44e-06,5.13e-06
.0011128,.0010506
.0000247,.0000233
.0000742,.00007
.0000495,.0000467
.0003957,.0003735
.0000155,.0000146
.0000315,.0000298
.0512402,.0483747
1,.944077
.0003074,.0002902
.0003215,.0003035
.0000553,.0000522
.0001236,.0001167
.0000989,.0000934
.0007914,.0007471
8.94e-06,8.44e-06
.0000247,.0000233
9.25e-06,8.73e-06
.0000495,.0000467
.0000113,.0000107
.0001731,.0001634
.0000429,.0000405
.0001236,.0001167
.0000882,.0000832
.0003709,.0003502
.0000279,.0000263
.0000989,.0000934
.0000282,.0000266
.0002226,.0002101
.0000592,.0000559
.0001731,.0001634
6.10e-06,5.76e-06
.0000257,.0000243
.0000247,.0000233
.0000742,.00007
8.02e-06,7.57e-06
.0000247,.0000233
.0000119,.0000112
.0001236,.0001167
.0000193,.0000182
.0000247,.0000233
.0000244,.000023
.0013354,.0012607
.0000127,.000012
.0000989,.0000934
.0000159,.000015
.0001236,.0001167
.0000325,.0000307
.0000247,.0000233
6.17e-06,5.83e-06
.0004699,.0004436
.0000651,.0000615
.0000247,.0000233
.0000886,.0000837
.0000989,.0000934
.0000711,.0000672
.0001731,.0001634
.0000307,.0000219
.0002647,.0001889
.0000118,8.41e-06
.0005293,.0003779
.0000756,.000054
.0000756,.000054
.0002647,.0001889
.0011721,.0008367
.0000513,.0000366
.0001046,.0000746
.0105864,.0075576
.2019736,.1441875
1,.7138925
.1716889,.1225674
.0000756,.000054
.0004537,.0003239
.0009452,.0006748
.0016636,.0011876
.0000378,.000027
.000063,.000045
.0000187,.0000133
.0000561,.00004
.0000378,.000027
.0000533,.0000381
.0000378,.000027
.0000378,.000027
.0002299,.0001641
.0006427,.0004589
.0000634,.0000453
.0001134,.000081
.0000378,.000027
.0008318,.0005938
.0000378,.000027
.0002269,.0001619
.000012,8.60e-06
.0000508,.0000362
.0000175,.0000125
.0001134,.000081
.0000242,.0000173
.0000768,.0000548
.0000406,.000029
.0000378,.000027
.0000371,.0000265
.0001344,.0000959
.0000378,.000027
.0014745,.0010527
.0000386,.0000276
.0002101,.00015
.0000378,.000027
.0001048,.0000748
.0000378,.000027
.0004082,.0002914
.0000129,9.24e-06
.0002647,.0001889
